token,token prob,1 star,5 star
<|*_5|>,0.9608497,1.744378e-08,0.9999999
<|*_4|>,0.036050405,3.9207205e-08,3.4684216e-08
<|*_3|>,0.002118715,9.536606e-08,9.767435e-08
<|*_1|>,0.0006300567,0.9999982,3.433401e-07
<|*_2|>,0.0003509671,6.9123536e-07,6.3479973e-07
br,9.275534e-10,0.012147182,0.7314389
 terrif,7.6558526e-10,0.0055602947,0.8559616
 yay,6.5440525e-10,0.0054003913,0.8532564
❣,6.1615024e-10,0.0024811733,0.98156184
 surpr,5.907933e-10,0.0088631585,0.85055006
 TOTALLY,5.382488e-10,0.014358275,0.8691311
 hav,5.1260624e-10,0.006154749,0.80361384
 magnetically,4.5433804e-10,0.0061876196,0.85222703
 EXCEPT,4.4761592e-10,0.034753047,0.28954685
<|*_0|>,4.1177206e-10,0.12988685,0.119723186
 �,3.7785175e-10,0.0068511106,0.901548
:-),3.718511e-10,0.0013012394,0.890136
.good,3.6111922e-10,0.004665787,0.84153813
 blah,3.421859e-10,0.015392546,0.7026914
 oops,3.4095457e-10,0.0129147805,0.78429323
