token,token prob,1 star,5 star
.,0.40875128,0.001551289,0.8474951
 or,0.2746465,0.0013615324,0.841502
",",0.09620351,0.0016604206,0.8346835
 and,0.052792758,0.0013559578,0.8549534
 floors,0.039794385,0.0012143488,0.85795546
<|sor|>,0.010893507,0.0008100388,0.9281143
 etc,0.009823179,0.0018117725,0.8179191
 floor,0.009169142,0.0012086733,0.86458665
 from,0.007824867,0.0014221714,0.8472
!,0.0068813935,0.0013006778,0.87914526
 by,0.0055854595,0.0014165655,0.8511123
 but,0.0040735286,0.0044314787,0.7254669
.<,0.0039286437,0.0035288883,0.75764436
 .,0.0024847833,0.0016878503,0.8631828
 (,0.0023687896,0.0012840572,0.8229577
 which,0.002365858,0.0016200744,0.8229909
 as,0.002271317,0.0014077155,0.8403862
 flooring,0.0018329961,0.0011043382,0.82996804
 because,0.0017965642,0.0018419783,0.84035075
..,0.0017038849,0.0017441476,0.8526717
