token,token prob,1 star,5 star
.,0.56560177,0.001721656,0.82613844
 and,0.16154505,0.0015770227,0.8355803
",",0.07155623,0.0023048136,0.79803926
 on,0.026868029,0.0013148527,0.84655875
 or,0.023076518,0.0014762232,0.83551717
 but,0.017027585,0.006624591,0.6392912
<|sor|>,0.015433764,0.0006453363,0.936974
 which,0.012786074,0.0017724786,0.7927965
!,0.00856302,0.0013704153,0.86749893
 face,0.0059635397,0.0014458183,0.81866133
.<,0.0048736855,0.004450111,0.7017489
 (,0.0047119902,0.0014142599,0.8008375
 as,0.004094352,0.0014890609,0.82029873
 by,0.0040548914,0.0015240058,0.8398628
 because,0.0037206474,0.0023156821,0.81655216
 &,0.0031042674,0.0015202053,0.8414216
 from,0.0026618827,0.0015267383,0.8265356
 too,0.0026053977,0.0013449191,0.8471171
 also,0.0023472654,0.0012387953,0.86472166
 it,0.00211891,0.001809245,0.8320203
