token,token prob,1 star,5 star
 you,0.47201526,0.0014421765,0.8527539
 dropped,0.1882,0.0016121673,0.8536633
 it,0.16268057,0.0016109518,0.85442007
 your,0.065677635,0.0013741109,0.84766036
 the,0.031136524,0.001455528,0.84875715
 dropping,0.008107179,0.0010507691,0.8704074
 u,0.0061123283,0.0013287404,0.8759699
 phone,0.005367668,0.0015379455,0.8500514
 accidentally,0.005188916,0.0011326498,0.8844442
 its,0.0038678823,0.0014803605,0.84698045
 falling,0.0028021748,0.0017087865,0.8547229
 they,0.0022407107,0.0014756044,0.85284925
 I,0.0015896882,0.0013929523,0.86502343
 in,0.0015103421,0.0015329099,0.85264266
 a,0.0014420633,0.0012329977,0.85510975
 ever,0.0013952691,0.0016201693,0.867658
 being,0.0013234972,0.0013648976,0.8583549
 there,0.0012788295,0.001307664,0.85955834
 falls,0.0012219831,0.0015425687,0.8374425
 face,0.0011642376,0.0013086152,0.83735406
