token,token prob,1 star,5 star
.,0.26168478,0.001978792,0.81871694
 and,0.19210835,0.0018083845,0.8312383
 when,0.08872336,0.0016024546,0.8460283
 if,0.07209995,0.0015979477,0.8335752
",",0.07134319,0.0024556273,0.7923855
 or,0.051394217,0.0016043598,0.8332646
 but,0.029907847,0.0057609696,0.6772821
 by,0.027741551,0.0018433669,0.8276433
 from,0.017320497,0.0016877484,0.82602257
 as,0.014386172,0.0016822219,0.80882955
<|sor|>,0.010568015,0.0008052196,0.9298955
 which,0.007982716,0.0020491944,0.7894147
 in,0.007462035,0.0017141401,0.8310535
 like,0.00684319,0.0020385364,0.8212726
 without,0.006823116,0.0013561791,0.8458884
!,0.0064662555,0.0016064771,0.8595791
 while,0.00620112,0.0012616961,0.84277886
 because,0.00612087,0.0024507646,0.82208836
 on,0.0053512724,0.0015959009,0.8391369
 with,0.005253245,0.0018431669,0.8250967
