token,token prob,1 star,5 star
 scratched,0.44574907,0.001407018,0.84067345
 cracked,0.2263274,0.0013428477,0.85309565
 broken,0.09598343,0.0013221732,0.8592234
 damaged,0.086850606,0.0014213047,0.8769191
 shattered,0.03325102,0.002181502,0.85428977
 broke,0.012827274,0.0016865594,0.84806466
 smashed,0.010197646,0.0013158389,0.8738748
 messed,0.005516642,0.00091921166,0.87426895
 touched,0.0047618463,0.0014169224,0.8595214
 hit,0.004583867,0.001655345,0.8400165
 destroyed,0.004181463,0.0013747653,0.8519331
 all,0.0037714562,0.0016649743,0.8425614
 scratch,0.0032939615,0.0014001571,0.8510751
 damage,0.0030085938,0.0013942719,0.8654355
 ruined,0.002855208,0.002226963,0.85561067
 dropped,0.0018972801,0.0014589635,0.85364115
 bumped,0.001730934,0.0015795286,0.8212865
 to,0.0014341971,0.0017441002,0.83527416
 crushed,0.0012327753,0.0013843329,0.8575443
 chipped,0.0012204621,0.0012332288,0.84901655
