token,token prob,1 star,5 star
 scratches,0.19817463,0.0016233086,0.78298116
 cracking,0.15032986,0.0012854658,0.8593105
 breaking,0.1292291,0.0019792784,0.8289124
 getting,0.11983855,0.0013392163,0.8322989
 being,0.042029075,0.001721721,0.82430327
 cracks,0.04143619,0.0015321216,0.8569094
 damage,0.03949317,0.0017745883,0.8501509
 shattering,0.034476165,0.002799751,0.82422704
 scratching,0.028389951,0.0017150716,0.8119447
 any,0.014532383,0.0016609518,0.83449125
 all,0.012675599,0.0019429767,0.8259679
 breakage,0.009572005,0.0011979039,0.85040575
 the,0.00909697,0.001964818,0.81389946
 falls,0.008959428,0.0020466282,0.8126482
 drops,0.006358689,0.0015297509,0.8209439
 anything,0.0057855244,0.0017897952,0.82752585
 a,0.0050534233,0.0016100771,0.8249053
 everything,0.0048162933,0.0019750546,0.8242968
 your,0.004180814,0.0021530236,0.8095617
 dirt,0.0038263418,0.0017399257,0.8101865
