token,token prob,1 star,5 star
 phone,0.832886,0.0015503927,0.8074231
 screen,0.03635881,0.0015764076,0.8041492
 watch,0.018674815,0.0013973729,0.84593093
 phones,0.01651631,0.0013049683,0.8290411
 iPhone,0.0104925195,0.0013821877,0.8293771
 device,0.009046757,0.0017342535,0.7770158
 cell,0.007932535,0.0011388971,0.83994
 camera,0.004922731,0.0016394786,0.8102142
 investment,0.0036871973,0.0011154604,0.83930767
 whole,0.0031996227,0.001462056,0.81416625
 Apple,0.002558419,0.0013055033,0.8505185
 iphone,0.0025544988,0.0011932169,0.84325457
 expensive,0.0021636973,0.0016281189,0.84964705
 entire,0.0018624357,0.001293351,0.79593444
 case,0.0018400839,0.0016552032,0.7787317
 cameras,0.0016937911,0.0013051754,0.83081913
 apple,0.0016103748,0.001059216,0.83553493
 cellphone,0.0014882337,0.0010257819,0.86448187
 devices,0.0012030661,0.0012872631,0.8194268
 I,0.0011800252,0.0019877555,0.8081226
