token,token prob,1 star,5 star
.,0.33475572,0.0025343497,0.8089762
",",0.10442865,0.007976193,0.6587232
!,0.09491758,0.0016316434,0.8493266
 they,0.07421963,0.003778304,0.8110642
 and,0.055528644,0.0046845973,0.7759088
 I,0.047184605,0.0048292875,0.8059109
 but,0.042456,0.038755152,0.222141
 for,0.02768488,0.0037116054,0.770082
<|sor|>,0.025228294,0.0007654512,0.94050926
 because,0.015732095,0.0040414333,0.7893569
!!,0.011191503,0.0015409373,0.87554145
 the,0.010860508,0.010546707,0.6258907
 so,0.0076803644,0.0038907994,0.8285306
 it,0.007368686,0.003917522,0.8036685
!!!,0.005829867,0.0013546051,0.90346766
 .,0.005207307,0.0036731565,0.85648715
...,0.0050583635,0.0068772016,0.7344477
 very,0.0048913695,0.0033211722,0.84588146
..,0.004470436,0.004693693,0.78929
 i,0.003902623,0.004479836,0.8119528
