token,token prob,1 star,5 star
 screen,0.14979737,0.0050893147,0.81774724
 cases,0.096131876,0.0042410954,0.80865496
.,0.08701256,0.002138788,0.8634225
 bands,0.04328431,0.003283278,0.8272515
!,0.038098913,0.001218326,0.89940417
 chargers,0.037221376,0.005079942,0.885507
 phone,0.030211024,0.0054951166,0.8127323
",",0.029429233,0.006262804,0.764266
 pens,0.028978776,0.0066587217,0.79532826
 they,0.021433787,0.004372979,0.8296475
 stylus,0.019165523,0.0028768894,0.8446477
 watch,0.01903502,0.005320406,0.8496376
 covers,0.018628977,0.003617944,0.8111844
 and,0.015173183,0.00445704,0.8290281
 products,0.014782101,0.0056941737,0.8482632
 I,0.012816806,0.0042599384,0.84556025
<|sor|>,0.012790926,0.00084732356,0.94184434
 but,0.011495766,0.028426178,0.3230535
 protectors,0.011204805,0.004188991,0.85422343
 cords,0.011103145,0.0067538223,0.84433055
