token,token prob,1 star,5 star
 like,0.5925901,0.0057731043,0.6942011
 love,0.13311633,0.0046044122,0.78884006
 liked,0.12293392,0.028941762,0.5709003
 loved,0.027793203,0.029206619,0.62510806
 enjoy,0.022917554,0.0036542835,0.7121747
 enjoyed,0.016142083,0.008659904,0.700656
 do,0.012565547,0.10011807,0.45641494
 don,0.006109888,0.23631293,0.21823674
 wanted,0.005657965,0.20254812,0.1676868
 really,0.0044079614,0.031809922,0.6604846
 didn,0.004005862,0.23907499,0.25726816
 am,0.0030869173,0.045534298,0.65428233
 did,0.0028970076,0.21527828,0.33599538
 thought,0.0022621856,0.111004315,0.32933626
 needed,0.002211281,0.02541379,0.75781137
 ,0.0018161612,0.051120657,0.69433385
 wish,0.0017309425,0.09474756,0.27532503
 recommend,0.0017124846,0.006367911,0.88843334
 think,0.0016019299,0.043011192,0.5513248
 appreciate,0.001581189,0.009613527,0.71819437
